location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,30926
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,88
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,115455
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,298
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,212626
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4160
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,257230
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5840
Austria,2021-02-05,Oxford/AstraZeneca,1
Austria,2021-02-05,Pfizer/BioNTech,352461
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,9905
Austria,2021-02-12,Oxford/AstraZeneca,10765
Austria,2021-02-12,Pfizer/BioNTech,453339
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14024
Austria,2021-02-19,Oxford/AstraZeneca,43473
Austria,2021-02-19,Pfizer/BioNTech,518824
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22291
Austria,2021-02-26,Oxford/AstraZeneca,101157
Austria,2021-02-26,Pfizer/BioNTech,579758
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31537
Austria,2021-03-05,Oxford/AstraZeneca,155802
Austria,2021-03-05,Pfizer/BioNTech,683752
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,46835
Austria,2021-03-12,Oxford/AstraZeneca,233951
Austria,2021-03-12,Pfizer/BioNTech,846597
Austria,2021-03-19,Johnson&Johnson,13
Austria,2021-03-19,Moderna,78540
Austria,2021-03-19,Oxford/AstraZeneca,306931
Austria,2021-03-19,Pfizer/BioNTech,978671
Austria,2021-03-26,Johnson&Johnson,20
Austria,2021-03-26,Moderna,103845
Austria,2021-03-26,Oxford/AstraZeneca,381774
Austria,2021-03-26,Pfizer/BioNTech,1124069
Austria,2021-04-02,Johnson&Johnson,32
Austria,2021-04-02,Moderna,140020
Austria,2021-04-02,Oxford/AstraZeneca,420164
Austria,2021-04-02,Pfizer/BioNTech,1271299
Austria,2021-04-09,Johnson&Johnson,55
Austria,2021-04-09,Moderna,179352
Austria,2021-04-09,Oxford/AstraZeneca,510085
Austria,2021-04-09,Pfizer/BioNTech,1491903
Austria,2021-04-16,Johnson&Johnson,57
Austria,2021-04-16,Moderna,221594
Austria,2021-04-16,Oxford/AstraZeneca,605286
Austria,2021-04-16,Pfizer/BioNTech,1724347
Austria,2021-04-23,Johnson&Johnson,61
Austria,2021-04-23,Moderna,258724
Austria,2021-04-23,Oxford/AstraZeneca,653772
Austria,2021-04-23,Pfizer/BioNTech,1986754
Austria,2021-04-30,Johnson&Johnson,310
Austria,2021-04-30,Moderna,297483
Austria,2021-04-30,Oxford/AstraZeneca,695675
Austria,2021-04-30,Pfizer/BioNTech,2259014
Austria,2021-05-07,Johnson&Johnson,6397
Austria,2021-05-07,Moderna,346416
Austria,2021-05-07,Oxford/AstraZeneca,758110
Austria,2021-05-07,Pfizer/BioNTech,2587871
Austria,2021-05-14,Johnson&Johnson,13319
Austria,2021-05-14,Moderna,395876
Austria,2021-05-14,Oxford/AstraZeneca,821715
Austria,2021-05-14,Pfizer/BioNTech,2886246
Austria,2021-05-21,Johnson&Johnson,25511
Austria,2021-05-21,Moderna,463269
Austria,2021-05-21,Oxford/AstraZeneca,898745
Austria,2021-05-21,Pfizer/BioNTech,3262679
Austria,2021-05-28,Johnson&Johnson,37582
Austria,2021-05-28,Moderna,516366
Austria,2021-05-28,Oxford/AstraZeneca,980903
Austria,2021-05-28,Pfizer/BioNTech,3596881
Austria,2021-06-04,Johnson&Johnson,56941
Austria,2021-06-04,Moderna,571099
Austria,2021-06-04,Oxford/AstraZeneca,1048811
Austria,2021-06-04,Pfizer/BioNTech,4023300
Austria,2021-06-11,Johnson&Johnson,78264
Austria,2021-06-11,Moderna,633091
Austria,2021-06-11,Oxford/AstraZeneca,1143124
Austria,2021-06-11,Pfizer/BioNTech,4467197
Austria,2021-06-18,Johnson&Johnson,92664
Austria,2021-06-18,Moderna,681945
Austria,2021-06-18,Oxford/AstraZeneca,1194711
Austria,2021-06-18,Pfizer/BioNTech,4933516
Austria,2021-06-25,Johnson&Johnson,100986
Austria,2021-06-25,Moderna,736968
Austria,2021-06-25,Oxford/AstraZeneca,1267074
Austria,2021-06-25,Pfizer/BioNTech,5393871
Austria,2021-07-02,Johnson&Johnson,110373
Austria,2021-07-02,Moderna,760663
Austria,2021-07-02,Oxford/AstraZeneca,1318466
Austria,2021-07-02,Pfizer/BioNTech,5557526
Belgium,2021-01-08,Pfizer/BioNTech,27584
Belgium,2021-01-15,Moderna,4
Belgium,2021-01-15,Pfizer/BioNTech,126013
Belgium,2021-01-22,Moderna,4425
Belgium,2021-01-22,Pfizer/BioNTech,244058
Belgium,2021-01-29,Moderna,6085
Belgium,2021-01-29,Pfizer/BioNTech,333360
Belgium,2021-02-05,Moderna,15717
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,461620
Belgium,2021-02-12,Moderna,25163
Belgium,2021-02-12,Oxford/AstraZeneca,312
Belgium,2021-02-12,Pfizer/BioNTech,596805
Belgium,2021-02-19,Moderna,29894
Belgium,2021-02-19,Oxford/AstraZeneca,10522
Belgium,2021-02-19,Pfizer/BioNTech,697415
Belgium,2021-02-26,Moderna,32294
Belgium,2021-02-26,Oxford/AstraZeneca,44775
Belgium,2021-02-26,Pfizer/BioNTech,785450
Belgium,2021-03-05,Moderna,50925
Belgium,2021-03-05,Oxford/AstraZeneca,109106
Belgium,2021-03-05,Pfizer/BioNTech,873354
