location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Saint Kitts and Nevis,2021-02-22,Oxford/AstraZeneca,https://wicnews.com/caribbean/st-kitts-and-nevis-vaccine-roll-out-begins-from-22-feb-for-70-population-035632875/,0,0,0
Saint Kitts and Nevis,2021-03-16,Oxford/AstraZeneca,https://covid19.gov.kn/,6903,6903,0
Saint Kitts and Nevis,2021-03-19,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/882416222542218/,7580,7580,0
Saint Kitts and Nevis,2021-03-27,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/886964598754047,8573,8573,0
Saint Kitts and Nevis,2021-04-10,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/895330671250773,10456,10456,0
Saint Kitts and Nevis,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/898518727598634,11152,11152,0
Saint Kitts and Nevis,2021-04-15,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/898956950888145,11451,11451,0
Saint Kitts and Nevis,2021-04-21,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/901952540588586,11848,11848,0
Saint Kitts and Nevis,2021-05-04,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/909339976516509,13070,12943,127
Saint Kitts and Nevis,2021-05-12,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/914012946049212,15567,13821,1746
Saint Kitts and Nevis,2021-05-18,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/918012832315890/,18695,14588,4107
Saint Kitts and Nevis,2021-05-22,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/919931132124060,21459,15619,5840
Saint Kitts and Nevis,2021-05-27,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/922880981829075,25347,18425,6922
Saint Kitts and Nevis,2021-06-01,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/925764214874085/,27749,20090,7659
Saint Kitts and Nevis,2021-06-05,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/posts/928133911303782,29628,21066,8562
Saint Kitts and Nevis,2021-06-10,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/930957591021414/,31054,21469,9585
Saint Kitts and Nevis,2021-06-15,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/934309337352906/,32415,22012,10403
Saint Kitts and Nevis,2021-06-21,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/937510777032762/,33982,22403,11579
Saint Kitts and Nevis,2021-06-22,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/940263366757503/,38006,22656,15350
Saint Kitts and Nevis,2021-06-29,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/pcb.942056613244845/942055599911613/,40615,22831,17784
Saint Kitts and Nevis,2021-06-30,Oxford/AstraZeneca,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/942708426512997/,41850,22937,18913
