location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Saint Lucia,2021-02-16,Oxford/AstraZeneca,https://www.loopslu.com/content/slmda-excited-vaccination-rollout-begin,0,0,0
Saint Lucia,2021-03-04,Oxford/AstraZeneca,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3920340978085958/,2094,2094,0
Saint Lucia,2021-03-12,Oxford/AstraZeneca,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/3943336199119769,17389,17389,0
Saint Lucia,2021-03-19,Oxford/AstraZeneca,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3960352537418135/,20247,20247,0
Saint Lucia,2021-03-28,Oxford/AstraZeneca,https://www.covid19response.lc/,21494,,
Saint Lucia,2021-03-30,Oxford/AstraZeneca,https://www.covid19response.lc/,22011,,
Saint Lucia,2021-03-31,Oxford/AstraZeneca,https://www.covid19response.lc/,22357,,
Saint Lucia,2021-04-01,Oxford/AstraZeneca,https://www.covid19response.lc/,22554,,
Saint Lucia,2021-04-07,Oxford/AstraZeneca,https://www.covid19response.lc/,22839,,
Saint Lucia,2021-04-08,Oxford/AstraZeneca,https://www.covid19response.lc/,22935,,
Saint Lucia,2021-04-09,Oxford/AstraZeneca,https://www.covid19response.lc/,23150,,
Saint Lucia,2021-04-10,Oxford/AstraZeneca,https://www.covid19response.lc/,23257,,
Saint Lucia,2021-04-14,Oxford/AstraZeneca,https://www.covid19response.lc/,23345,,
Saint Lucia,2021-04-16,Oxford/AstraZeneca,https://www.covid19response.lc/,23575,,
Saint Lucia,2021-04-17,Oxford/AstraZeneca,https://www.covid19response.lc/,23664,,
Saint Lucia,2021-04-19,Oxford/AstraZeneca,https://www.covid19response.lc/,23688,,
Saint Lucia,2021-04-21,Oxford/AstraZeneca,https://www.covid19response.lc/,23829,,
Saint Lucia,2021-04-23,Oxford/AstraZeneca,https://www.covid19response.lc/,23861,,
Saint Lucia,2021-04-24,Oxford/AstraZeneca,https://www.covid19response.lc/,23941,,
Saint Lucia,2021-04-27,Oxford/AstraZeneca,https://www.covid19response.lc/,24014,,
Saint Lucia,2021-04-28,Oxford/AstraZeneca,https://www.covid19response.lc/,24123,,
Saint Lucia,2021-04-29,Oxford/AstraZeneca,https://www.covid19response.lc/,24230,,
Saint Lucia,2021-04-30,Oxford/AstraZeneca,https://www.covid19response.lc/,24266,,
Saint Lucia,2021-05-01,Oxford/AstraZeneca,https://www.covid19response.lc/,24426,,
Saint Lucia,2021-05-19,Oxford/AstraZeneca,https://www.covid19response.lc/,44206,26905,17301
Saint Lucia,2021-05-20,Oxford/AstraZeneca,https://www.covid19response.lc/,44362,26975,17387
Saint Lucia,2021-05-21,Oxford/AstraZeneca,https://www.covid19response.lc/,44868,27165,17703
Saint Lucia,2021-05-22,Oxford/AstraZeneca,https://www.covid19response.lc/,45297,27395,17902
Saint Lucia,2021-05-25,Oxford/AstraZeneca,https://www.covid19response.lc/,45476,27507,17969
Saint Lucia,2021-05-26,Oxford/AstraZeneca,https://www.covid19response.lc/,45739,27588,18151
Saint Lucia,2021-05-27,Oxford/AstraZeneca,https://www.covid19response.lc/,45986,27709,18277
Saint Lucia,2021-05-29,Oxford/AstraZeneca,https://www.covid19response.lc/,46571,27995,18576
Saint Lucia,2021-05-30,Oxford/AstraZeneca,https://www.covid19response.lc/,46771,28118,18653
Saint Lucia,2021-06-01,Oxford/AstraZeneca,https://www.covid19response.lc/,47124,28262,18862
Saint Lucia,2021-06-02,Oxford/AstraZeneca,https://www.covid19response.lc/,47542,28477,19065
Saint Lucia,2021-06-03,Oxford/AstraZeneca,https://www.covid19response.lc/,47828,28587,19241
Saint Lucia,2021-06-07,Oxford/AstraZeneca,https://www.covid19response.lc/,48257,28724,19533
Saint Lucia,2021-06-08,Oxford/AstraZeneca,https://www.covid19response.lc/,48666,28914,19752
Saint Lucia,2021-06-09,Oxford/AstraZeneca,https://www.covid19response.lc/,49065,29023,20042
Saint Lucia,2021-06-10,Oxford/AstraZeneca,https://www.covid19response.lc/,49369,29147,20222
Saint Lucia,2021-06-11,Oxford/AstraZeneca,https://www.covid19response.lc/,49735,29366,20369
Saint Lucia,2021-06-12,Oxford/AstraZeneca,https://www.covid19response.lc/,50132,29580,20552
Saint Lucia,2021-06-14,Oxford/AstraZeneca,https://www.covid19response.lc/,50244,29655,20589
Saint Lucia,2021-06-16,Oxford/AstraZeneca,https://www.covid19response.lc/,50706,29798,20908
Saint Lucia,2021-06-17,Oxford/AstraZeneca,https://www.covid19response.lc/,50869,29874,20995
Saint Lucia,2021-06-18,Oxford/AstraZeneca,https://www.covid19response.lc/,51061,30024,21037
Saint Lucia,2021-06-19,Oxford/AstraZeneca,https://www.covid19response.lc/,51178,30063,21115
Saint Lucia,2021-06-22,Oxford/AstraZeneca,https://www.covid19response.lc/,51337,30123,21214
Saint Lucia,2021-06-23,Oxford/AstraZeneca,https://www.covid19response.lc/,51563,30270,21293
Saint Lucia,2021-06-25,Oxford/AstraZeneca,https://www.covid19response.lc/,52030,30462,21568
Saint Lucia,2021-06-27,Oxford/AstraZeneca,https://www.covid19response.lc/,52355,30623,21732
Saint Lucia,2021-06-29,Oxford/AstraZeneca,https://www.covid19response.lc/,52596,30746,21850
Saint Lucia,2021-06-30,Oxford/AstraZeneca,https://www.covid19response.lc/,52771,30815,21956
Saint Lucia,2021-07-01,Oxford/AstraZeneca,https://www.covid19response.lc/,52921,30902,22019
