location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Romania,2020-12-27,Pfizer/BioNTech,https://datelazi.ro/,965,965,0
Romania,2020-12-28,Pfizer/BioNTech,https://datelazi.ro/,2066,2066,0
Romania,2020-12-29,Pfizer/BioNTech,https://datelazi.ro/,2778,2778,0
Romania,2020-12-30,Pfizer/BioNTech,https://datelazi.ro/,5666,5666,0
Romania,2020-12-31,Pfizer/BioNTech,https://datelazi.ro/,10289,10289,0
Romania,2021-01-01,Pfizer/BioNTech,https://datelazi.ro/,11656,11656,0
Romania,2021-01-02,Pfizer/BioNTech,https://datelazi.ro/,13242,13242,0
Romania,2021-01-03,Pfizer/BioNTech,https://datelazi.ro/,13596,13596,0
Romania,2021-01-04,Pfizer/BioNTech,https://datelazi.ro/,25508,25508,0
Romania,2021-01-05,Pfizer/BioNTech,https://datelazi.ro/,41609,41609,0
Romania,2021-01-06,Pfizer/BioNTech,https://datelazi.ro/,58554,58554,0
Romania,2021-01-07,Pfizer/BioNTech,https://datelazi.ro/,76400,76400,0
Romania,2021-01-08,Pfizer/BioNTech,https://datelazi.ro/,92706,92706,0
Romania,2021-01-09,Pfizer/BioNTech,https://datelazi.ro/,102301,102301,0
Romania,2021-01-10,Pfizer/BioNTech,https://datelazi.ro/,108294,108294,0
Romania,2021-01-11,Pfizer/BioNTech,https://datelazi.ro/,125190,125190,0
Romania,2021-01-12,Pfizer/BioNTech,https://datelazi.ro/,140447,140447,0
Romania,2021-01-13,Pfizer/BioNTech,https://datelazi.ro/,154268,154268,0
Romania,2021-01-14,Pfizer/BioNTech,https://datelazi.ro/,154268,154268,0
Romania,2021-01-15,Pfizer/BioNTech,https://datelazi.ro/,183669,183669,0
Romania,2021-01-16,Pfizer/BioNTech,https://datelazi.ro/,196090,196090,0
Romania,2021-01-17,Pfizer/BioNTech,https://datelazi.ro/,204185,203310,875
Romania,2021-01-18,Pfizer/BioNTech,https://datelazi.ro/,235239,233289,1950
Romania,2021-01-19,Pfizer/BioNTech,https://datelazi.ro/,270046,267425,2621
Romania,2021-01-20,Pfizer/BioNTech,https://datelazi.ro/,308384,302571,5813
Romania,2021-01-21,Pfizer/BioNTech,https://datelazi.ro/,348096,338253,9843
Romania,2021-01-22,Pfizer/BioNTech,https://datelazi.ro/,385936,374682,11254
Romania,2021-01-23,Pfizer/BioNTech,https://datelazi.ro/,418885,406007,12878
Romania,2021-01-24,Pfizer/BioNTech,https://datelazi.ro/,446285,433130,13155
Romania,2021-01-25,Pfizer/BioNTech,https://datelazi.ro/,484631,459568,25063
Romania,2021-01-26,Pfizer/BioNTech,https://datelazi.ro/,528378,487712,40666
Romania,2021-01-27,Pfizer/BioNTech,https://datelazi.ro/,570704,513430,57274
Romania,2021-01-28,Pfizer/BioNTech,https://datelazi.ro/,609396,534347,75049
Romania,2021-01-29,Pfizer/BioNTech,https://datelazi.ro/,647000,554925,92075
Romania,2021-01-30,Pfizer/BioNTech,https://datelazi.ro/,672396,571092,101304
Romania,2021-01-31,Pfizer/BioNTech,https://datelazi.ro/,691415,585219,106196
Romania,2021-02-01,Pfizer/BioNTech,https://datelazi.ro/,721184,598136,123048
Romania,2021-02-02,Pfizer/BioNTech,https://datelazi.ro/,748732,610384,138348
Romania,2021-02-03,Pfizer/BioNTech,https://datelazi.ro/,772202,620177,152025
Romania,2021-02-04,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,794795,629280,165515
Romania,2021-02-05,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,821552,638887,182665
Romania,2021-02-06,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,840812,647691,193121
Romania,2021-02-07,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,856322,656178,200144
Romania,2021-02-08,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,891348,661063,230285
Romania,2021-02-09,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,930155,666943,263212
